Sentence	Label
We conducted an exploratory microbial water quality study at a tropical beach influenced by sewage-contaminated rivers, and tested the hypothesis that fecal microorganisms (fecal coliforms, enterococci, Clostridium perfringens, somatic and male-specific coliphages, pepper mild mottle virus (PMMoV), Bacteroides HF183, norovirus genogroup I (NoVGI), Salmonella, Cryptosporidium and Giardia) would vary by season and tidal stage	0
We conducted an exploratory microbial water quality study at a tropical beach influenced by sewage-contaminated rivers, and tested the hypothesis that fecal microorganisms (fecal coliforms, enterococci, Clostridium perfringens, somatic and male-specific coliphages, pepper mild mottle virus (PMMoV), Bacteroides HF183, norovirus genogroup I (NoVGI), Salmonella, Cryptosporidium and Giardia) would vary by season and tidal stage	0
We reviewed multiple aspects of COVID peri-pandemic air travel, including data on traveller numbers, peri-flight prevention, and testing recommendations and in-flight SARS-CoV-2 transmission, photo-epidemiology of mask use, the pausing of air travel to mass gathering events, and quarantine measures and their effectiveness	0
BACKGROUND/PURPOSE: The role of directly-acting antivirals (DAA)-containing regimens in the treatment of patients dually-infected with hepatitis C virus (HCV) and hepatitis B virus (HBV) remains unclear	0
BACKGROUND/PURPOSE: The role of directly-acting antivirals (DAA)-containing regimens in the treatment of patients dually-infected with hepatitis C virus (HCV) and hepatitis B virus (HBV) remains unclear	0
To avoid overcounting, we adjusted for possible clustering of deaths using an estimated secondary attack rate and age-specific infection-fatality ratios for SARS-CoV-2	0
The Extent of Aspergillosis in Critically Ill Patients With Severe Influenza Pneumonia: A Multicenter Cohort Study	1
The Extent of Aspergillosis in Critically Ill Patients With Severe Influenza Pneumonia: A Multicenter Cohort Study	1
OBJECTIVES: To determine the frequency and prognosis of invasive pulmonary aspergillosis in critically ill patients with severe influenza pneumonia	1
OBJECTIVES: To determine the frequency and prognosis of invasive pulmonary aspergillosis in critically ill patients with severe influenza pneumonia	1
OBJECTIVES: To determine the frequency and prognosis of invasive pulmonary aspergillosis in critically ill patients with severe influenza pneumonia	0
Factors independently associated with Aspergillus-positive culture were liver cirrhosis (odds ratio = 6.7 [2.1-19.4]; p < 0.01), hematologic malignancy (odds ratio = 3.3 [1.2-8.5]; p = 0.02), Influenza A(H1N1)pdm09 subtype (odds ratio = 3.9 [1.6-9.1]; p < 0.01), and vasopressor requirement (odds ratio = 4.1 [1.6-12.7]; p < 0.01)	0
Factors independently associated with Aspergillus-positive culture were liver cirrhosis (odds ratio = 6.7 [2.1-19.4]; p < 0.01), hematologic malignancy (odds ratio = 3.3 [1.2-8.5]; p = 0.02), Influenza A(H1N1)pdm09 subtype (odds ratio = 3.9 [1.6-9.1]; p < 0.01), and vasopressor requirement (odds ratio = 4.1 [1.6-12.7]; p < 0.01)	0
Factors independently associated with Aspergillus-positive culture were liver cirrhosis (odds ratio = 6.7 [2.1-19.4]; p < 0.01), hematologic malignancy (odds ratio = 3.3 [1.2-8.5]; p = 0.02), Influenza A(H1N1)pdm09 subtype (odds ratio = 3.9 [1.6-9.1]; p < 0.01), and vasopressor requirement (odds ratio = 4.1 [1.6-12.7]; p < 0.01)	0
Factors independently associated with Aspergillus-positive culture were liver cirrhosis (odds ratio = 6.7 [2.1-19.4]; p < 0.01), hematologic malignancy (odds ratio = 3.3 [1.2-8.5]; p = 0.02), Influenza A(H1N1)pdm09 subtype (odds ratio = 3.9 [1.6-9.1]; p < 0.01), and vasopressor requirement (odds ratio = 4.1 [1.6-12.7]; p < 0.01)	0
CONCLUSIONS: In this large retrospective multicenter cohort of critically ill patients, putative invasive pulmonary aspergillosis according to AspICU algorithm was a relatively rare complication of influenza	0
CONCLUSIONS: In this large retrospective multicenter cohort of critically ill patients, putative invasive pulmonary aspergillosis according to AspICU algorithm was a relatively rare complication of influenza	1
Patients at higher risk of Aspergillus pulmonary colonization included those with liver cirrhosis, hematologic malignancy, H1N1pdm09 influenza A virus, and requiring vasopressors	0
Patients at higher risk of Aspergillus pulmonary colonization included those with liver cirrhosis, hematologic malignancy, H1N1pdm09 influenza A virus, and requiring vasopressors	0
Patients at higher risk of Aspergillus pulmonary colonization included those with liver cirrhosis, hematologic malignancy, H1N1pdm09 influenza A virus, and requiring vasopressors	0
